;id;atlas_id;ontology_id;acronym;name;color_hex_triplet;graph_order;st_level;hemisphere_id;parent_structure_id
1;997;-1.0;1;root;root;FFFFFF;0;0;3;
2;8;0.0;1;grey;Basic cell groups and regions;BFDAE3;1;1;3;997.0
3;567;70.0;1;CH;Cerebrum;B0F0FF;2;2;3;8.0
4;688;85.0;1;CTX;Cerebral cortex;B0FFB8;3;3;3;567.0
5;695;86.0;1;CTXpl;Cortical plate;70FF70;4;4;3;688.0
6;315;746.0;1;Isocortex;Isocortex;70FF71;5;5;3;695.0
7;184;871.0;1;FRP;Frontal pole, cerebral cortex;268F45;6;8;3;315.0
8;68;998.0;1;FRP1;Frontal pole, layer 1;268F45;7;11;3;184.0
9;667;1073.0;1;FRP2/3;Frontal pole, layer 2/3;268F45;8;11;3;184.0
10;526157192;;1;FRP5;Frontal pole, layer 5;268F45;9;11;3;184.0
11;526157196;;1;FRP6a;Frontal pole, layer 6a;268F45;10;11;3;184.0
12;526322264;;1;FRP6b;Frontal pole, layer 6b;268F45;11;11;3;184.0
13;500;203.0;1;MO;Somatomotor areas;1F9D5A;12;6;3;315.0
14;107;1003.0;1;MO1;Somatomotor areas, Layer 1;1F9D5A;13;11;3;500.0
15;219;1017.0;1;MO2/3;Somatomotor areas, Layer 2/3;1F9D5A;14;11;3;500.0
16;299;1027.0;1;MO5;Somatomotor areas, Layer 5;1F9D5A;15;11;3;500.0
17;644;787.0;1;MO6a;Somatomotor areas, Layer 6a;1F9D5A;16;11;3;500.0
18;947;825.0;1;MO6b;Somatomotor areas, Layer 6b;1F9D5A;17;11;3;500.0
19;985;830.0;1;MOp;Primary motor area;1F9D5A;18;8;3;500.0
20;320;888.0;1;MOp1;Primary motor area, Layer 1;1F9D5A;19;11;3;985.0
21;943;966.0;1;MOp2/3;Primary motor area, Layer 2/3;1F9D5A;20;11;3;985.0
22;648;929.0;1;MOp5;Primary motor area, Layer 5;1F9D5A;21;11;3;985.0
23;844;1095.0;1;MOp6a;Primary motor area, Layer 6a;1F9D5A;22;11;3;985.0
24;882;1100.0;1;MOp6b;Primary motor area, Layer 6b;1F9D5A;23;11;3;985.0
25;993;831.0;1;MOs;Secondary motor area;1F9D5A;24;8;3;500.0
26;656;930.0;1;MOs1;Secondary motor area, layer 1;1F9D5A;25;11;3;993.0
27;962;1110.0;1;MOs2/3;Secondary motor area, layer 2/3;1F9D5A;26;11;3;993.0
28;767;944.0;1;MOs5;Secondary motor area, layer 5;1F9D5A;27;11;3;993.0
29;1021;1117.0;1;MOs6a;Secondary motor area, layer 6a;1F9D5A;28;11;3;993.0
30;1085;1125.0;1;MOs6b;Secondary motor area, layer 6b;1F9D5A;29;11;3;993.0
31;453;339.0;1;SS;Somatosensory areas;188064;30;6;3;315.0
32;12993;;1;SS1;Somatosensory areas, layer 1;188064;31;11;3;453.0
33;12994;;1;SS2/3;Somatosensory areas, layer 2/3;188064;32;11;3;453.0
34;12995;;1;SS4;Somatosensory areas, layer 4;188064;33;11;3;453.0
35;12996;;1;SS5;Somatosensory areas, layer 5;188064;34;11;3;453.0
36;12997;;1;SS6a;Somatosensory areas, layer 6a;188064;35;11;3;453.0
37;12998;;1;SS6b;Somatosensory areas, layer 6b;188064;36;11;3;453.0
38;322;747.0;1;SSp;Primary somatosensory area;188064;37;8;3;453.0
39;793;1089.0;1;SSp1;Primary somatosensory area, layer 1;188064;38;11;3;322.0
